dataset_name,target_name_hlsp,qual_comm
o4yn01010,SK-67D101,[o4yn01010] Flux discrepancy 
o4yn01020,SK-67D101,[o4yn01020] Flux discrepancy
g039050100000,2DFS-999,[g0390501000] Flux rescaled
p103030100000,AV-235,[p1030301000] Flux rescaled
e511070100000,AV-267,[e5110701000] Flux rescaled
p117600100000,AV-26,[p1176001000] Flux rescaled
p117540100000,AV-388,[p1175401000] Flux rescaled
g039030100000,AV-39A,[g0390301000] Flux rescaled
c002030100000,AV-476,[c0020301000] Flux rescaled
p117620100000,AV-83,[p1176201000] Flux rescaled
d098170100000,BAT99-105,[d0981701000] Flux rescaled
p117290200000,BI-272,[p1172902000] Flux rescaled
d098110100000,LH-114-7,[d0981101000] Flux rescaled
a044010200000,LMCX-4,[a0440102000] Flux rescaled
f321010200000,MOA-J010321.3-720538,[f3210102000] Flux rescaled
d138030100000,NGC2004-ELS-026,[d1380301000] Flux rescaled
p203040100000,NGC346-MPG-342,[p2030401000] Flux rescaled
p203030100000,NGC346-MPG-355,[p2030301000] Flux rescaled
b010020100000,PGMW-3070,[b0100201000] Flux rescaled
g927050100000,SK-65D55,[g9270501000] Flux rescaled
p103130200000,SK-67D104,[p1031302000] Flux rescaled
a111010100000,SK-67D106,[a1110101000] Flux rescaled
b086090100000,SK-67D168,[b0860901000] Flux rescaled
e511220100000,SK-68D16,[e5112201000] Flux rescaled
d098100100000,SK-70D13,[d0981001000] Flux rescaled
p203020100000,NGC346-MPG-435,[p2030201000] Flux rescaled
leilacjaq ,SZ-10,[leilacjaq] Manual wavelength shift
leil2dinq,SZ-10,[leil2dinq] Manual wavelength shift
leiladiuq,SZ-10,[leiladiuq] Manual wavelength shift
lek71fhuq,V-GM-AUR,[lek71fhuq] Manual wavelength shift
lek71fhyq,V-GM-AUR,[lek71fhyq] Manual wavelength shift
lek71fhsq,V-GM-AUR,[lek71fhsq] Manual wavelength shift
lek71fhwq,V-GM-AUR,[lek71fhwq] Manual wavelength shift
lek71fhoq,V-GM-AUR,[lek71fhoq] Manual wavelength shift
lek71fhqq,V-GM-AUR,[lek71fhqq] Manual wavelength shift
