PID,group,target,stis_assignee,cos_assignee,prim_assignee,sec_assignee,prim_ins,sec_ins
16364,2,SK-67D166,tsohn,,tsohn,,STIS,
16364,2,SK-67D167,tsohn,,tsohn,,STIS,
16364,2,SK-67D69,tsohn,,tsohn,,STIS,
16364,2,SK-70D60,tsohn,,tsohn,,STIS,
16365,5,SK-66D171,dwelty,,dwelty,,STIS,
16365,5,SK-68D41,dwelty,,dwelty,,STIS,
16365,5,SK-69D43,dwelty,,dwelty,,STIS,
16365,5,SK-70D32,dwelty,,dwelty,,STIS,
16365,5,SK-71D8,dwelty,,dwelty,,STIS,
16366,6,BI128,tmonroe,,tmonroe,,STIS,
16366,6,SK-65D2,tmonroe,,tmonroe,,STIS,
16366,6,SK-67D216,tmonroe,,tmonroe,,STIS,
16366,6,SK-70D13,tmonroe,,tmonroe,,STIS,
16367,8,HD269927C,,,,,STIS,
16367,8,SK-65D55,,,,,STIS,
16367,8,SK-67D266,,,,,STIS,
16367,8,SK-71D21,,,,,STIS,
16368,28,AV261,,,,,STIS,
16368,28,AV264,,,,,STIS,
16368,28,AV85,,,,,STIS,
16368,28,AV96,,,,,STIS,
16369,11,N11-ELS-060,,,,,COS,
16369,11,ST92-5-27,,,,,COS,
16369,11,VFTS-267,,,,,COS,
16369,11,VFTS-404,,,,,COS,
16369,11,W61-28-23,,,,,COS,
16370,31,2DFS-2266,,fuller,fuller,,COS,
16370,31,2DFS-3954,,fuller,fuller,,COS,
16370,31,2DFS-999,,fuller,fuller,,COS,
16370,31,AV251,,fuller,fuller,,COS,
16371,34,AV186,,,,,COS,
16371,34,M2002-SMC-81469,,,,,COS,
16371,34,NGC346-ELS-13,,,,,COS,
16371,34,NGC346-ELS-25,,,,,COS,
16372,42,AV148,,rsankrit,rsankrit,,COS,
16372,42,AV468,,rsankrit,rsankrit,,COS,
16372,42,NGC346-ELS-31,,rsankrit,rsankrit,,COS,
16372,42,NGC346-ELS-46,,rsankrit,rsankrit,,COS,
16373,37,2DFS-3689,,sahnow,sahnow,,COS,
16373,37,2DFS-3947,,sahnow,sahnow,,COS,
16373,37,AV374,,sahnow,sahnow,,COS,
16373,37,AV472,,sahnow,sahnow,,COS,
16374,19,SK-66D50,,,,,COS,STIS
16374,19,SK-67D195,,,,,COS,STIS
16374,19,SK-67D197,,,,,COS,STIS
16374,19,SK-67D207,,,,,COS,STIS
16375,40,AV200,proffitt,proffitt,proffitt,,COS,STIS
16375,40,AV314,proffitt,proffitt,proffitt,,COS,STIS
16375,40,AV343,proffitt,proffitt,proffitt,,COS,STIS
16375,40,AV445,proffitt,proffitt,proffitt,,COS,STIS
16375,40,SK179,proffitt,proffitt,proffitt,,COS,STIS
,,,,,,,,
