PID,group,target,stis_assignee,cos_assignee,prim_assignee,sec_assignee,prim_ins,sec_ins,cos_int_reviewer,stis_int_reviewer,wfc3_int_reviewer,cs
16593,,RXJ0438.6+1546,rsankrit,rsankrit,rsankrit,,COS,STIS,proffitt,proffitt,,
16594,,V505-ORI,dsom,dsom,dsom,,COS,STIS,rsankrit,rsankrit,,
16595,,RECX-5,duval,duval,duval,,COS,STIS,dwelty,dwelty,,
16595,,RECX-9,duval,duval,duval,,COS,STIS,dwelty,dwelty,,
16596,,RECX-6,wfischer,wfischer,wfischer,,COS,STIS,duval,duval,,
16596,,V-SY-CHA,wfischer,wfischer,wfischer,,COS,STIS,duval,duval,,
16597,,SZ19,sahnow,sahnow,sahnow,,COS,STIS,rsankrit,rsankrit,,
16597,,V-VZ-CHA,sahnow,sahnow,sahnow,,COS,STIS,rsankrit,rsankrit,,
16598,,2MASSJ11183572-7935548,proffitt,proffitt,proffitt,,COS,STIS,wfischer,wfischer,,
16598,,V-WZ-CHA,proffitt,proffitt,proffitt,,COS,STIS,wfischer,wfischer,,
16599,,HD-104237E,rplesha,rplesha,rplesha,,COS,STIS,sahnow,dwelty,,
16589,,V-BP-Tau,,duval,duval,,COS,,wfischer,,,
16590,,V-GM-Aur,,duval,duval,,COS,,wfischer,,,
16591,,V-TW-Hya,,duval,duval,,COS,,wfischer,,,
16592,,V-RU-Lup,,duval,duval,,COS,,wfischer,,,
